17:02:18.598 INFO  manager.ApplicationManager - All tests run in Chrome Browser
17:02:19.212 INFO  manager.ApplicationManager - The link ---->https://telranedu.web.app/home
17:02:19.223 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Sign Out']
17:02:24.280 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Sign Out']
17:02:24.282 INFO  manager.ApplicationManager - Before find element:By.cssSelector: a[href='/login']
17:02:24.304 INFO  manager.ApplicationManager - element found success:By.cssSelector: a[href='/login']
17:02:24.313 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: a[href='/login']]
17:02:24.397 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: a[href='/login']]
17:02:24.397 INFO  manager.ApplicationManager - Before find element:By.name: email
17:02:24.425 INFO  manager.ApplicationManager - element found success:By.name: email
17:02:24.426 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> name: email]
17:02:24.459 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> name: email]
17:02:24.599 INFO  manager.ApplicationManager - Before find element:By.xpath: //input[last()]
17:02:24.609 INFO  manager.ApplicationManager - element found success:By.xpath: //input[last()]
17:02:24.609 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> xpath: //input[last()]]
17:02:24.637 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> xpath: //input[last()]]
17:02:24.764 INFO  manager.ApplicationManager - Before find element:By.xpath: //button[text()='Login']
17:02:24.780 INFO  manager.ApplicationManager - element found success:By.xpath: //button[text()='Login']
17:02:24.780 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> xpath: //button[text()='Login']]
17:02:24.816 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> xpath: //button[text()='Login']]
17:02:24.844 INFO  tests.TestBase - Name of method -->addContactWrongPhone
17:02:24.847 INFO  manager.ApplicationManager - Before find element:By.cssSelector: a[href='/add']
17:02:25.872 INFO  manager.ApplicationManager - element found success:By.cssSelector: a[href='/add']
17:02:25.872 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: a[href='/add']]
17:02:25.941 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: a[href='/add']]
17:02:25.941 INFO  manager.ApplicationManager - Before find element:By.cssSelector: [placeholder='Name']
17:02:25.963 INFO  manager.ApplicationManager - element found success:By.cssSelector: [placeholder='Name']
17:02:25.963 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Name']]
17:02:26.000 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Name']]
17:02:26.185 INFO  manager.ApplicationManager - Before find element:By.cssSelector: [placeholder='Last Name']
17:02:26.212 INFO  manager.ApplicationManager - element found success:By.cssSelector: [placeholder='Last Name']
17:02:26.213 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Last Name']]
17:02:26.285 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Last Name']]
17:02:26.442 INFO  manager.ApplicationManager - Before find element:By.cssSelector: [placeholder='Phone']
17:02:26.462 INFO  manager.ApplicationManager - element found success:By.cssSelector: [placeholder='Phone']
17:02:26.463 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Phone']]
17:02:26.530 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Phone']]
17:02:26.706 INFO  manager.ApplicationManager - Before find element:By.cssSelector: [placeholder='email']
17:02:26.731 INFO  manager.ApplicationManager - element found success:By.cssSelector: [placeholder='email']
17:02:26.731 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='email']]
17:02:26.796 INFO  manager.ApplicationManager - done method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='email']]
17:02:26.962 INFO  manager.ApplicationManager - Before find element:By.cssSelector: [placeholder='Address']
17:02:26.984 INFO  manager.ApplicationManager - element found success:By.cssSelector: [placeholder='Address']
17:02:26.985 INFO  manager.ApplicationManager - start method click [[ChromeDriver: chrome on WINDOWS (b32b1b3a5b647626886665d7e08d15b1)] -> css selector: [placeholder='Address']]
